clip_filename,delta_clarity_score,delta_hiss_ratio,delta_flatness,delta_harmonicity,delta_post_rms_dbfs,delta_silence_pct
jarvis_1_018_0177000_0183000.wav,1.52350712846129,0.0009470597166620492,0.0018687751544793907,0.04352877509889408,-0.6408385761994602,2.928870292887029
jarvis_1_012_0114000_0120000.wav,1.3336289849289642,-0.0057615474192389965,-0.0007775608207953033,0.038103685283684685,-0.0034374993364103545,2.9288702928870287
jarvis_1_024_0243000_0249000.wav,1.3149260192614491,-0.0033864310090943664,0.0002547410892507207,0.0375693148360412,-0.05389189139237516,1.3100436681222716
jarvis_1_029_0297000_0303000.wav,1.2024213183485557,0.0007589272494143949,-0.001002638025156169,0.016526318432174003,2.2667234660708857,0.8230452674897122
jarvis_1_013_0129000_0135000.wav,1.1477339744821933,0.00544256107057893,0.0028142521479444273,0.032792399270919925,-0.19057804669130363,0.0
jarvis_ii_001_0006000_0012000.wav,1.0488547775692894,0.004359581400053436,0.0034640381297661657,0.02996727935912269,0.03655716446224844,8.016877637130802
jarvis_1_023_0231000_0237000.wav,0.9668933227471683,0.008693280000703185,0.002064487087532086,0.0276255235070621,0.4998932769990674,0.816326530612244
jarvis_1_026_0264000_0270000.wav,0.8837874174940765,0.0001266681795773078,-0.0004010766976950478,0.02525106907125918,0.22800121157789732,1.6877043704511094
jarvis_1_030_0306000_0312000.wav,0.8595880284812125,0.0010075976158192765,-0.0001518074773282918,0.024559657956605918,1.5026139948779225,1.612903225806452
jarvis_1_002_0012000_0018000.wav,0.8041585433117717,0.001374697318815371,0.0023625429253730373,0.022975958380336503,1.3788015739767978,0.4465384480151897
jarvis_1_003_0021000_0027000.wav,0.8006027434822727,0.0004257319250743907,0.0006604561795729783,0.02287436409949334,0.16102523983485284,1.3100436681222702
jarvis_1_017_0168000_0174000.wav,0.7353396432758785,0.00378720861619998,0.001742775818958705,0.021009704093596537,-0.06388628561543541,3.292181069958847
jarvis_1_035_0363000_0369000.wav,0.7303474794197626,0.004421149488492523,0.0040874470698301635,0.020867070840564883,0.5048532222722919,1.6947364719946556
jarvis_1_020_0198000_0204000.wav,0.6042638548528032,-0.00043522483804987744,-0.0011328380939071118,0.01726468156722294,0.674932797052783,1.6460905349794235
jarvis_1_001_0000000_0006000.wav,0.5718467104946683,-0.005145304478986534,0.0014863187332464362,0.016338477442704447,0.04304001163277249,0.8474576271186454
jarvis_1_043_0450000_0456000.wav,0.530405743866055,0.002198288121601555,-0.005764343282402853,0.015154449824744454,0.10086080600130742,2.0576131687242807
jarvis_1_005_0039000_0045000.wav,0.5042739223456891,-0.004120091417227745,-0.004106816348207733,0.014407826352733855,-0.26286905840944286,2.15311874886343
jarvis_1_021_0207000_0213000.wav,0.4667996172831579,-0.004038727418593208,0.0013300883887956347,0.013337131922375678,-0.6254386628930533,2.10970464135021
jarvis_1_039_0408000_0414000.wav,0.3780079419857998,-0.009187867063321031,0.0029539858396130173,0.01080022691387994,0.8592304551589898,0.408163265306122
jarvis_1_038_0396000_0402000.wav,0.26524818427667185,0.0006561434885895903,0.0008841013449368447,0.007578519550761942,0.11449354101236153,2.032520325203251
jarvis_1_014_0138000_0144000.wav,0.18793422371631152,0.015565190346468742,0.000817483222519573,0.00536954924903732,2.1517251670988884,0.43668122270742354
jarvis_1_040_0420000_0426000.wav,0.11955110009586178,-0.02005372240181806,-0.0018692753955789065,0.0034157457170246874,1.7339045090389007,3.7815126050420167
jarvis_1_016_0156000_0162000.wav,0.09409244494986524,0.0013536464654015923,-0.0009544055543723833,0.002688355569996359,1.9196664862881043,2.916666666666667
jarvis_1_010_0090000_0096000.wav,0.05420406920499943,-0.002212838942431593,0.0007736820840220371,0.0015486876915711822,-0.11862592752826373,0.858369098712445
jarvis_1_033_0342000_0348000.wav,0.04274981824902113,0.0005632085668562589,-0.0056977272059876745,0.0012214233785433626,1.3432729786397992,1.265778277838332
jarvis_1_025_0255000_0261000.wav,-0.045496509618331515,-0.0017561182862891357,0.0020445173243949857,-0.0012999002748091404,-0.07762352000075623,0.8671243653007217
jarvis_1_044_0462000_0468000.wav,-0.24039751604577475,-0.0006370522437283838,-0.0014763017144289112,-0.0068685004584508325,0.2682052498611327,1.2552301255230125
jarvis_1_015_0147000_0153000.wav,-0.8345864164483032,0.012216211260002087,-0.001354121459413521,-0.023845326184237292,2.1867395159272967,0.0
jarvis_1_034_0351000_0357000.wav,-0.8837227595757042,-0.000911561417377887,-0.002276505750986051,-0.025249221702163094,1.8067512243855113,1.2551009910496895
jarvis_1_028_0288000_0294000.wav,-1.2950204404106955,2.7429486846810083e-05,-0.000532463019931137,-0.03700058401173445,1.5652811275571885,1.7467248908296944
jarvis_1_032_0330000_0336000.wav,-3.569443257020964,-0.010647049428041906,-0.000997121090604864,-0.00047442368781064337,-0.15711821504006807,2.183406113537117
jarvis_1_006_0048000_0054000.wav,-8.45757955666781,-0.002458030701037353,0.0004599392939172581,-0.0016451301905093807,-0.08246581412348064,7.916666666666664
jarvis_1_042_0441000_0447000.wav,-8.758684504006553,-0.0016985637606632444,-0.0008545997931104915,0.004658703612235415,-0.406148952488131,5.217391304347824
