clip_filename,duration_sec,in_rms_dbfs,out_rms_dbfs,in_peak_dbfs,out_peak_dbfs,noise_reduction_db_est,sibilance_reduction_db_est
jarvis_1_001_0000000_0006000.wav,5.930666666666666,-23.240909294383982,-23.196407457888,-4.345915529475545,-4.902845769421854,7.976823806762695,0.49053025245666504
jarvis_1_002_0012000_0018000.wav,5.994666666666666,-24.534350132608154,-23.15405533625779,-7.2589508896345265,-6.102258634488194,12.8974609375,0.4455223083496094
jarvis_1_003_0021000_0027000.wav,5.770666666666667,-23.293251934990835,-23.130688656970936,-7.966225153783711,-7.628208232928573,12.713345527648926,0.6721811890602112
jarvis_1_005_0039000_0045000.wav,5.898666666666666,-23.137031893184673,-23.398502213291334,-3.431771304477072,-4.682910433571752,11.603189468383789,0.5267746448516846
jarvis_1_006_0048000_0054000.wav,6.037333333333334,-23.17648926894421,-23.25754448586885,-3.9770125200189117,-4.594399481645517,12.324735641479492,0.4228329360485077
jarvis_1_010_0090000_0096000.wav,5.866666666666666,-23.104782491604965,-23.221919288695258,-4.136856679979676,-4.965563060278985,9.871378898620605,0.7210800647735596
jarvis_1_012_0114000_0120000.wav,6.005333333333334,-23.185793805239044,-23.18778586672737,-5.311340501824148,-6.012901558823001,11.838348388671875,0.3839780390262604
jarvis_1_013_0129000_0135000.wav,5.76,-23.139585034815834,-23.328803160190887,-2.9981157759401302,-3.891427431440549,10.102213859558105,0.6438373923301697
jarvis_1_014_0138000_0144000.wav,5.76,-25.409977891923674,-23.25677000849101,-7.01896727812505,-4.871297362758723,12.723570823669434,1.0369188785552979
jarvis_1_015_0147000_0153000.wav,5.92,-25.365149312474582,-23.17691962195604,-7.67919157502705,-4.648091379683833,12.585027694702148,0.6354378461837769
jarvis_1_016_0156000_0162000.wav,6.037333333333334,-25.139769438380995,-23.218709159353406,-6.161697773250125,-5.0265392971223575,10.97527027130127,0.4554349482059479
jarvis_1_017_0168000_0174000.wav,6.101333333333334,-23.96975694817625,-24.032260704870797,-3.0138524448828603,-3.7515872553707057,9.421462059020996,0.44056418538093567
jarvis_1_018_0177000_0183000.wav,6.005333333333334,-22.762922965012397,-23.402313307241485,-4.882856171104838,-5.075810920219405,13.100870132446289,0.7231878042221069
jarvis_1_020_0198000_0204000.wav,6.112,-23.869129451454654,-23.19280018225022,-4.427614005167647,-4.779833375776188,11.267936706542969,0.24691106379032135
jarvis_1_021_0207000_0213000.wav,5.973333333333334,-22.54168838289145,-23.165673434421077,-5.612580937300219,-6.580797584576819,13.956843376159668,0.7901707887649536
jarvis_1_023_0231000_0237000.wav,6.165333333333334,-23.647531638855376,-23.14610028205864,-6.301839608927011,-6.00156646530129,12.272743225097656,0.6073589324951172
jarvis_1_024_0243000_0249000.wav,5.76,-23.156857798130986,-23.209347885454083,-3.0446588327222606,-4.292518632229575,10.65906047821045,0.5264403820037842
jarvis_1_025_0255000_0261000.wav,5.941333333333334,-23.132396836136092,-23.208512947127232,-3.8418936488897537,-5.643683049579606,10.787664413452148,0.8613103032112122
jarvis_1_026_0264000_0270000.wav,5.994666666666666,-23.453873380955347,-23.224463776742827,-3.9010871583616726,-4.484406930897013,9.450112342834473,0.7001547813415527
jarvis_1_028_0288000_0294000.wav,5.76,-25.449214200136847,-23.882358080269697,-4.184788395216979,-3.379466571934386,10.433052062988281,0.7844946384429932
jarvis_1_029_0297000_0303000.wav,6.101333333333334,-25.708000057740822,-23.439775162875968,-3.623945720680548,-2.957652406224931,10.478014945983887,1.0901055335998535
jarvis_1_030_0306000_0312000.wav,6.24,-25.00085004786369,-23.496668661214493,-5.683685563480516,-4.818831142993689,11.417648315429688,0.8268023729324341
jarvis_1_032_0330000_0336000.wav,5.76,-23.107344037117006,-23.263098738119474,-4.669252312633986,-5.3920871893791436,14.849035263061523,0.7757480144500732
jarvis_1_033_0342000_0348000.wav,5.994666666666666,-24.84731792705082,-23.502639902703116,-4.239029641845036,-3.8513725829281222,14.689079284667969,0.8717919588088989
jarvis_1_034_0351000_0357000.wav,6.069333333333334,-25.02475177516655,-23.216532359338423,-7.032656626022531,-5.2992623931722,9.000069618225098,0.5483906269073486
jarvis_1_035_0363000_0369000.wav,5.994666666666666,-23.6612659183495,-23.15487192436656,-4.4444000451144,-4.453967994957225,9.638782501220703,0.27743440866470337
jarvis_1_038_0396000_0402000.wav,6.1866666666666665,-23.29470484043471,-23.17879997466595,-5.438812284195683,-5.7351218948270315,9.357497215270996,0.9225183725357056
jarvis_1_039_0408000_0414000.wav,6.165333333333334,-24.073830021429767,-23.213143119110462,-5.363776000519298,-4.974975731501797,9.262017250061035,0.6348497271537781
jarvis_1_040_0420000_0426000.wav,5.984,-25.032206787772537,-23.297047351518607,-5.232549766382263,-4.493204413751581,14.695206642150879,0.7141512632369995
jarvis_1_042_0441000_0447000.wav,5.792,-22.998485038524397,-23.40338471481434,-3.5878130105854393,-4.648361916995368,9.132450103759766,0.34448280930519104
jarvis_1_043_0450000_0456000.wav,6.112,-23.325150371585348,-23.222856200535613,-7.118857752515892,-6.752468095059708,9.537520408630371,1.0482436418533325
jarvis_1_044_0462000_0468000.wav,6.005333333333334,-23.39856457627682,-23.128825274562427,-6.483332499600646,-6.311780543837525,11.886098861694336,0.9809993505477905
jarvis_ii_001_0006000_0012000.wav,5.952,-23.265850646348927,-23.227846132526327,-1.3624263270542096,-2.9890806689646947,12.535329818725586,0.9658434391021729
